id,review_text,stars,sentiment_label,sentiment
en_0636808,"Unhappy with my paper

Paper. Not even framed. $13 for paper. I will be returning immediately",1,0,negative
en_0655201,"Pros - nice beginner set

Pros - nice beginner set. Like the water base paints and easy clean up. Bought these for my 9 year old granddaughter. The pallet is small but the holes for paint are deep. The paint brushes seem nice. A little disappointed the set is so small. I expected the case to be bigger overall. Thought I should get more for the money.",3,1,neutral
en_0416503,"Wrong color

We ordered the pink shirt but it was not the color that was on the listing. We needed a baby pink color for a dance performance and it came as more of a dark pink color. The style and fit were great but we had to return it because it was the wrong color.",3,1,neutral
en_0595881,"Just ok

I have very dry, and sometimes cracked, heels. This works ok, not great. I have had other creams that worked better (prescription cream containing urea worked the best).)",3,1,neutral
en_0616519,"Dont buy this, useless

This item is useless. I've never seen an eyelash comb with tines so wide apart. Cant be used for this reason.",1,0,negative
en_0564598,"Four Stars

Good product I never have it make my hair feeling better",4,2,positive
en_0101748,"This book is not as fun as some others in the series

This book is not as fun as the ""That's not my dragon book"" which I do recommend. There is little difference between the touch and feel materials in this book and they feel repetitive.",2,0,negative
en_0073176,"Bad audio quality

Not even 4 months of use and the sound cuts in and out. It doesn't go silent, the sound gets flat and quiet. This goes in and out constantly. Changed optic cord, powered off and on, etc. nothing has worked. Looking into replacing this.",1,0,negative
en_0637887,"🤗🤗🤗

The best job I ever had",4,2,positive
en_0411235,"Horrible material

Terrible material very cheap and would start to tear and the handles will start to wear off very early on.",2,0,negative
en_0985423,"Sent me the wrong size. Checked my order

YOU GUYS MAILED ME THE WRONG SIZE AND HALLOWEEN IS TOMORROW! I am more than upset!!",1,0,negative
en_0819499,"Enough plastic waste already.

Only one star for presentation because please, STOP THE WASTE OF PLASTIC! Such a pity because otherwise, these precious toys are just adorable. My daughters love these things!",3,1,neutral
en_0922133,"Save your money and your hair

This is a fake..buyer beware it will damage your hair!",1,0,negative
en_0330902,"Not fresh

These arrived hard as a rock. They were not fresh as they are expiring in just a few months.",1,0,negative
en_0772967,"Velcro pulled off on first real use

My child loved these shoes. Wore them around the house to make sure they fit before a beach trip. First time wearing them outside velcro that is stitched on pulled off when taking them off to dump sand out of them. Useless.",1,0,negative
en_0235594,"No roots!

Just cuttings stuck in the dirt. No roots. Delivery was rough and cuttings came out of the dirt.",2,0,negative
en_0806972,"Returned

Had turn signals on the model I bought. Didn't like that.",3,1,neutral
en_0296399,"Don’t buy if you have vision issues.

Hard to set and not really easy to read time. I bought it thinking that it would be easier for me to tell time but it doesn’t- have to pinch the light button to see time better.",3,1,neutral
en_0221668,"I didn't want it to end

Coffee shops and books and lakeside resort towns: what's not to love about the setting for Rebecca Waters' newest novel? The author painted such a clear picture of Fish Creek that I felt I could have drawn a map of the town -- and it's a town where I'd be proud to live. I dove into this book and didn't want to come back out; my only complaint is that 188 pages wasn't enough! I'd have loved a little more story, and if the author sets any more books in this lovely community, I'll be a happy reader.",4,2,positive
en_0725955,"Not good

Look for another brand I bought 3 for my family and all 3 cracked within a week.",1,0,negative
en_0306120,"Cute

Super cute and easy to use. However my daughter doesn't wear it like a mitten, she holds it up to her mouth. It gets the job done though and she likes it more then a traditional teether.",5,2,positive
en_0771692,"It does cover the car as advised

I constantly have to put the cover on the car yes I do have it stripped down maybe it's me it looks and the size was correct and the color was correct I just need to know how to keep it on the car",3,1,neutral
en_0512177,"Good and bad average out.

They fit me nicely, and sound good to my ears. But, the plug shorted out just shy of eight weeks, so now I have a left-channel earphone (singular), instead of stereo earphones (plural). I'm going to give them another shot and hope the durability improves on the next pair. I also wish I could find something similar with an in-line volume control. I don't need a phone mic, just a volume control.",3,1,neutral
en_0353576,"Great product, Coco approved!

Product came as described.",5,2,positive
en_0502113,"Just buy the amazon basics

Like most offbrand iPhone chargers these work great for a bit and then get hit and miss real quick and then just stop working. It’s really worth the extra money to buy the amazon basics brand. I cheaped out on these and hot what I paid for.",2,0,negative
en_0025439,"Perfect

Looks exactly like the item, works perfect. I actually use it so my son can ride a four wheeler with an adult, I,could not find seatbelts so I bought this and it works great.",5,2,positive
en_0483807,"Not Recommend

They came and they were dirty - the rubber of all of them (I ordered 4) was coated in black dirt.",1,0,negative
en_0524410,"Five Stars

This is the best spray to clean windows with. Easy to use, streak free.",5,2,positive
en_0399901,"Ok

Good storyline. Written a bit coldly.",3,1,neutral
en_0868878,"I open today it’s very dirty inside the product

Not sure is it refurbished, I open today it’s very dirty inside the product, and a little bit yellow crack inside",2,0,negative
en_0828158,"Solid. Good weight.

Nice packaging and carrying bag. Good weight. Doesn’t feel flimsy. Unit feels solid when assembled. I was surprised that the shovel is smaller than I expected. But a great size for camping or bug out bag.",4,2,positive
en_0757265,"I liked it

Interesting story and semi-detailed descriptions of sweat lodge experiences. The lack of a revenge motive was refreshing. It did seem to be a little juvenile in places but overall an entertaining read.",3,1,neutral
en_0287628,"Not as reliable/convenient as advertised

The concept is fabulous - but the proof is in the pudding, as they say. Had trouble from day 1 with a reliable connection. Worked at first, then didn't. On again, off again connection--and an extended, arduous journey getting one display to work--and keep working--let alone the dual displays. Laptop got stuck in dock multiple times (and yes, it was put in correctly/straight); connectors in dock were not stable so sometimes the connection worked, sometimes it didn't. Support at Henge is a frustrating process--a ""prove it""/try this-try that method that is protracted and time-consuming and maddening. Bought this product as well as their Stone dock (reviewed separately). Due to this experience, do not plan to ever buy any Henge product again.",2,0,negative
en_0442764,"They don’t work as splitter

They don’t split. Not in the sense that you have 1 port and want to connect 2 devices. For that you need a small unmanaged switch. Not sure what’s the point of this product if it doesn’t work as a splitter. But who knows, maybe I just don’t understand. But calling it a splitter is perhaps a little misleading.",2,0,negative
en_0672874,"Ear Bud Stopped Working

These started out great- connected seamlessly to my phone. Upon first extended use, however, the right ear bud stopped working after about 90 minutes. I tried reconnecting and nothing fixed the problem. Any advice on how to get more than one use out of these would be greatly appreciated.",1,0,negative
en_0921939,"Nivea colors leaves a stain

Doesn’t come completely off what you are writing on. Leaves a stain",2,0,negative
en_0049766,"Too hard to close and not lightweight

This umbrella is really hard to close because the spring is too tight. I have to push it against the wall to close it. It’s also heavier than my other two umbrellas that I’ve had for years... too bad...",2,0,negative
en_0702301,"Chips

I really like the Corelle dishes but in less than 2 months I have chips in 2 bowls already. They don’t seem as durable as the plates. Older style plates I have from Corelle seem thicker and more resistant to chips.",3,1,neutral
en_0399348,"Three Stars

Home made Kombucha tastes much better",3,1,neutral
en_0252916,"While the live feed is good. It very hard and not convenient to watch ...

While the live feed is good . It very hard and not convenient to watch the recording",3,1,neutral
en_0831637,"Does not Stay in Place

Although it is advertised as ""non-stick,"" the liner does not stay in place in today's new wood cabinets. I even tried using small glue dots to hold in place with no success.",3,1,neutral
en_0689547,"Don’t waste your time downloading this app

You have to subscribe to a paid TV networking i.e. DirecTV dish TV or cable TV Do use it",1,0,negative
en_0285352,"Not good for iPhones

Only used it for 3 days. Every time I plug my phone it says it’s not compatible with this device.",3,1,neutral
en_0267907,"Mini sized but work well.

Mini sized UV light, but has strong power. Work well and great quanlity.",5,2,positive
en_0605027,"I need tp for my bung hole

My bung hole likes this tp",5,2,positive
en_0483500,"diary

I am not sure why I thought there would be some writing/guide/stories, but it is a lined diary, with a cool cover, and that is all.",3,1,neutral
en_0956433,"Not what I was hoping for and also poor quality

Took 2 months of use and finally the connector that holds it to the vent became loose and won't get tight up any more. Plus, your Galaxy s9 will not sit in completely in the holder if you are charging your phone at the same time. I stopped using it",2,0,negative
en_0122573,"Search elsewhere

Ehhh.... it holds food scraps. Fruit flies still get in it, so we take it out every day. The charcoal filters don’t stay in the lid they usually wind up in with the scraps.",2,0,negative
en_0315509,"Great Mid-Century Modern Dining Room Chairs

These chairs are great—I bought 4 and had an issue with one. The seller very quickly replaced the shell and I haven’t had an issue since. I actually just ordered 4 more! They look great in my dining room. If you’re thinking about buying them, just do it. You can’t beat the price, they look amazing, and they take maybe 30 minutes to put together. I highly recommend these!",5,2,positive
en_0198795,"I like it

I like this hat lol served it self for what I bought it for",4,2,positive
en_0025200,"Nice

The charger and battery for my macbook pro arrived quickly and performed as expected",5,2,positive
en_0668832,"Love love love!

Absolutely love this product! I use it everyday.",5,2,positive
en_0508708,"Amount in package is incorrect

The description says that it comes two to a package but there is only one in each one therefore instead of getting 200 you're only getting 100. Otherwise they are okay.",3,1,neutral
en_0764505,"Very nice set, love the funnel and labels, wish for shaker inserts

I really love these jars. I got some magnets to make a magnetic source rack. My only complaint is that I wish they had some kind of shaker insert with them or compatible with them available separate. It's difficult to always be trying to gauge dumping a bunch out or putting it into my hand first. Otherwise they are beautiful and very functional. I love the funnel and labels that come with too.",3,1,neutral
en_0140576,"Broken tablets

The first few tablets were fine but the further down the bucket we get they are all broken and almost powder....not sure how we are expected to use powdered chlorine in a dispenser made for tablets. I am not happy and will not purchase them again.",2,0,negative
en_0131773,"Works

Works but difficult to put on and I used both in the pack to still have bubbles",3,1,neutral
en_0530150,"Worth every penny

Takes alot of the mess out of greasing fittings. Positive locking works perfect. I Definatly recommend this. Not great in tight places though",5,2,positive
en_0501615,"Will not turn on.

Showed up inoperable.",1,0,negative
en_0114976,"Nice compact temporary crib or playard for infants up to a year old.

Small, sturdy and packable, but a bit heavy.",4,2,positive
en_0404685,"Work but don't last long

They work like the originals that came with the pyramid. Downside is that they do not last long.",3,1,neutral
en_0514951,"Great taste

Wow these taste great, will buy them again for sure",5,2,positive
en_0132783,"They are what you’d expect.

Super cute! I put them on cupcakes for my 3 year old’s birthday.",4,2,positive
en_0759674,"Do not recommend:

I purchased this item to give as a birthday gift. It shipped very fast and we received it in less than a week. I gave this item a 2 star review because of the lack of packaging. It literally came in a clear plastic bag sealed with a piece of scotch tape (not ideal for gifting). I am not sure how this game is played but I could only assume each card has a certain value. Considering the packaging, I'm guessing these cards are the ""leftovers"" and all of the valuable cards have been cherry picked.",2,0,negative
en_0033441,"Not good customer service on providing refund

I loved the ring, used as a fill in when leaving the country going on vacation. size I picked was too big, so had to order a smaller size. waiting on the refund on the initial ring bought is like waiting for rain in a drought. Plus cannot get in touch with anyone regarding my refund!!!",3,1,neutral
en_0816570,"good brush

works well on paint removal",4,2,positive
en_0077998,"Great light to be visible, but not visibility at night.

These are visibility lights only, as in people seeing you. These are not bright lights at night. you aren’t going to be able to see where you are going with these. The strobe function works great for getting people’s attention to see you but that’s about it.",3,1,neutral
en_0586400,"OK for the price

OK, the print on the plates etc. seemed to lack",3,1,neutral
en_0761145,"One Star

Couldn't hold any tabs open and performed more like a cheap tablet than a laptop.",1,0,negative
en_0086588,"Five Stars

Great price and fit perfectly!",5,2,positive
en_0939318,"great soil for succulents

everything is growing well in this soil. i bought 30 starts of succulents and every one of them rooted.this soil is the best!",5,2,positive
en_0671678,"Too big

This case is huge! The size of a small backpack. I was looking for something to fit over my camera to protect it while hiking so that I could keep it hanging around my neck or shoulder. This bag is really fat. Not something I want to carry while exploring. I'll just stick with a backpack.",2,0,negative
en_0899198,"i hope you like curly blinds!

product is shipped coiled in a small box. now the blinds are curled. tried cooking them the other way to reverse the curl, but can’t get them straight. product would be fine otherwise.",3,1,neutral
en_0917870,"Love this family

I love the characters and town the authors have created. My favorite thing is the relationship between Cee-cee and her sisters. Great to read about a middle aged woman finding her truth and living her best life!",4,2,positive
en_0891086,"One Star

This lasted all of 5 minutes.",1,0,negative
en_0843962,"Weak Magnet

The magnet is not very strong, compared to a WizGear mount. Unable to hold up the phone with the metal plate behind/inside the case. The whole unit is metal and seems very durable, but I can’t use it because of the weak magnet.",2,0,negative
en_0033562,"Three Stars

It looks way smaller than I expected. It is more for the ladies.",3,1,neutral
en_0692866,"Not fresh despite being 4 months away from ""best by"" date

Maybe it improperly stored but I was kind of disappointed that the product was not fresh despite being 4 months away from the expiry date. They were kind of firm like they were drying out, and the chocolate chips were turning white. I also wish that the chocolate chip coverage was more generous; some pieces had no chocolate at all. They are a bit pricey for marshmallows too. Overall, I like them; it's just that this particular batch was disappointing.",3,1,neutral
en_0370455,"CHEAP - HARSH - LIKE SANDPAPER on your skin

Looks great - but fabric quality and thread count make this the most abrasive and uncomfortable ever experienced. Hard to believe a company would make something like this!",2,0,negative
en_0246718,"I love the coloration of these

I love the coloration of these. It is way more adult than the pokemon gotcha default bracelet. But the material seems to be weaker. The device in the pokemon gotcha is a repurposed fitness device just with a different os. These bracelets get a little weak after many uses and the tracker/gotcha can pop out if you aren't careful. But they do look better at work than the kiddie colored bracelet. These are pretty cheap though, so when they wear out, I'll just throw them away.",3,1,neutral
en_0804230,"Not impressed.

I used these to keep an extension cord out of the way. I used 8 clips and the stickiness lasted less than 24 hrs. I’m not impressed.",2,0,negative
en_0921522,"One Star

Doesn't harden with uv light",1,0,negative
en_0319943,"This looks very cheap and not anything like real diamonds

This looks very cheap and not anything like real diamonds. It seemed to be quality, though, in that the stones were snug and it was shiny. Also runs incredibly too small. I ordered a size up and it was still too small.",3,1,neutral
en_0296879,"Its big enough to hold a big salad.

I use it for my dinner everyday at work. I liked it so well I bought one for my husband. He loves it to, with all the compartments. Great bag!",5,2,positive
en_0403614,"I Don’t Recommend

Not worth your money, two cables are already not working and third one functions off and on. Don’t waist your $$$.",1,0,negative
en_0557456,"Exactly as pictured, super nice!

Looks exactly like the picture! My towels don't stay on as well as I'd like, but I'm not complaining. You can adjust the towel to stay on better, or I think I'll add a non slip element so they don't fall off. They are really nice looking and bring a nice wood element to my bathroom. I will probably add some to my room as well. My only other complaint is that when putting them into the wall they rubbed the paint a bit because you have to ""screw"" the actual wood part on and it rubs a bit. But with a little touching up you barely notice. Super satisfied with this product overall!",4,2,positive
en_0285075,"While the hole punches are adjustable, you can only ...

While the hole punches are adjustable, you can only slide the top 3 and bottom 3 as a unit. They dont move individually.",4,2,positive
en_0822022,"Did not work as described.

I'm not satisfied with this software. Extremely uncomfortable. Terrible quality! I'm very unsatisfied with it. Awkward, poorly designed. It's terreible when a software does not exactly what it says it does.",1,0,negative
en_0040046,"Five Stars

Very nice comforter!",5,2,positive
en_0958918,"deceptive advertising

Today I bought this Square-Trade 4-year ""protection"" plan for a small appliance purchase. The plan expires 4 years from today. The manufacturer provides a one year warranty on the item; thus Square-Trade is really only selling a 3 year extension of the manufacturers warranty. You should call it what it is.",2,0,negative
en_0718868,"Wrong size

The proportions are all wrong. I was hoping for a quality product, very disappointed. I will never waste my money to purchase this product again.",1,0,negative
en_0270316,"to pricey for what they are.

to pricey for what they are.",3,1,neutral
en_0898671,"These socks look exactly how pictures which is awesome but the 8-11 women’s size is generous

These socks look exactly how pictures which is awesome but the 8-11 women’s size is generous. I’d say they fit more of 6-9 comfortably. Kind of annoying.",3,1,neutral
en_0836578,"Totally enjoyed

From the title and rating you know that I thoroughly enjoyed this novel. I could hardly wait to get home to continue it. It had the right amount of strange to make it different without seeming totally unreadable. I look forward to reading more of her books. Be warned, there are a few grammatical errors. That was the only thing that kept it from 5 stars",4,2,positive
en_0294888,"Beautiful case

This case fit perfectly and is pretty durable. My only complaint is that the piece with the flower design on the back is already starting to lift up after only a couple of weeks. I think it is from the wear and tear of putting it in my pocket, but was still hoping it would have held up a little bit longer. Update: My auxillary cord and some headphone cannot plug into the phone through the case because the opening is too small, so I'm disappointed in that, FYI.",3,1,neutral
en_0720544,"Beware of blisters\scars from product ingredients

This product is horrible!! I’ve used kinesiology tape before and thought I’d try this one for a few less dollars. Big mistake!! I had a serious reaction to the tape. Blistering and now a scar. Called their customer service and was told the ingredients in tape. Rude service. Rep told me “good luck!” with return. Amazon refunded me so no issues. Contacted company by email suggesting they may want to list ingredients for those who might have allergic reactions. Rep said she would take suggestion and asked for photos of blisters. No mention of rude treatment or asked if I wanted a refund. Horrible product and horrible customer service!!! Thanks to Amazon for refund.",1,0,negative
en_0151202,"The right grill does not fit my 2001 540i

The grills are nicely made and the left side fit perfectly. The right side fit well but there was some interference when closing the hood and pushes the grill out. I am not sure yet why. There is some rubber baffling around the back side to control airflow for cooling, the backside grill flange shape is not the same as OEM. If I can modify to fit I shall repost and increase the rating accordingly.",3,1,neutral
en_0341019,"Great concept.... Just not good enough for larger, heavier, phones.

Great concept, but doesn't work on heavier larger phones like the Note 8. The phone is simply too heavy with a basic style case.The slightest bump will cause the phone to slip off the mount and fall to the floor, potentially damaging your phone. Unfortunately this resulted in me returning this, as it simply did not work as well as I had hoped for my Note 8.",3,1,neutral
en_0356828,"Perfect!

Just what I needed! Great durable material",5,2,positive
en_0952156,"Okay

It works okay but after awhile it charges slowly and sometimes doesn't charge at all.",3,1,neutral
en_0087900,"Pumper broke off.

I have ordered this product 4 times now and the last two times the spout was broken so I couldn't use the pump. I was able to use the pump off a bottle that I already had. It is a good product that helps my dogs. It shipped very quickly.",2,0,negative
en_0537821,"Waste of money

They aren't moist! I have to wet them with water, defeating the entire purpose!",1,0,negative
en_0284089,"Only got mats. Not cutter or refill blades

I did not receive the rotary cutter or the refill blades in my package. please send ASAP thank you",1,0,negative
en_0442625,"Improves the feel of writing on an iPad

The most important thing to know before purchasing this product is it does not work well if you have a case that grasps the table at the glass. I replaced a Soke case because it kept raising the edges of the PaperLike. If you use an Apple Smart cover everything fits perfectly.",5,2,positive
en_0461135,"Bent in shipping

Package it better than a thin mail pouch. Frame was bent in two places.:(",3,1,neutral
en_0531442,"Not for inulin coffee

This does not dissolve as Inhad thought. The particles expand a lot once added to liquid. I was expecting something I could mix into my coffee, this does not do that at all.",3,1,neutral
en_0175577,"Buy better wall anchors before installing.

Fit and finish is very good. Attaching it to a hollow wall (sheet rock) would have been a snap if the d*+#%$ anchors were of even minimal quality. Otherwise this is a good value.",3,1,neutral
en_0971151,"Twice I was sent the wrong sized item

I would like to give this an honest review, if the company would send me the correct model. I need an iPhone X case, but twice they sent me iPhone 9. I will no longer do business with this vendor.",1,0,negative
en_0903336,"Doesn’t work

I thought I was doing a good thing buying the Remington brand, but not with this. It may as well be a circus whistle.",1,0,negative
en_0829013,"I have tried getting used to these sheets but am ...

I have tried getting used to these sheets but am going to have to send them back. They are poorly constructed and wrinkle so badly (yes, I know they are all cotton) that even ironing them does not work well. The stitching puckers so much that they do not look neat even when ironed. Ironing does help the appearance somewhat, but because I am 75 years old I am not able to iron sheets every time they are laundered.",2,0,negative
en_0904913,"Outstanding but

I love the card and my grandson will really be surprised. The biggest problem is on this card there is no where to write a note. Another problem with this card we always give our grand kids money for their birthday and there is no way to put money in this card.",3,1,neutral
en_0173875,"Cute but wrong item

The wrong item was shipped. The one I received was darling but I had no need for a random sorority bracelet instead of the one I ordered. The package was returned easily but I miss a Christmas deadline due to the mix-up.",3,1,neutral
en_0455095,"Beautiful mug

This thing is beautiful! And a larger mug then I thought. Gorgeous dark navy blue color. We love it",5,2,positive
en_0461018,"Happy dog

Leather is nice and soft; buckles are sturdy",4,2,positive
en_0240688,"It had a chemical smell when I opened the package ...

It had a chemical smell when I opened the package. And it's really way too big. I looked warm but sadly it's going back.",3,1,neutral
en_0326469,"Great hats. I get complements on them all the ...

Great hats. I get complements on them all the time.",5,2,positive
en_0246239,"arrived quickly

Good quality, arrived quickly and as described.",4,2,positive
en_0662420,"thoroughly read the instructions

So glad that I purchased this. This really helps get any extra off my teeth, to the point where I may increase the length of time for dental cleanings. It feels like I've been to the dentist daily. Love it. It take me a few tries figuring out how to use this without spraying the room, but have it down pat now. :)",5,2,positive
en_0037349,"NOT GRAY, moss green

The set is exactly as pictured except that the color is not gray-- it is a pale moss green.",2,0,negative
en_0266151,"Great products!

Product just as described and came quickly. Perfect fit!",5,2,positive
en_0907271,"Good quality with low price

Very sturdy, low price. Exactly what we needed!",5,2,positive
en_0529951,"So much fun!

Love this author. Book is an easy but fun read. Make sure you read the entire trilogy.",5,2,positive
en_0197087,"Too loose

I wore these sandals they are very loose and dragging They need more holes to make a comfortable fit...",2,0,negative
en_0047929,"Three Stars

Got dull very quickly, within just a few uses",3,1,neutral
en_0239929,"fit is just okay

seem a little larger than previously purchased in same style and size.",4,2,positive
en_0931564,"Pretty but not functional

Just received the replacement to my original order. Both were shipped promptly and in beautiful condition - but neither actually charge. I may have gotten two lemons, but lemons none the less.",1,0,negative
en_0566710,"Good product.

Downloaded the recommended app and connected with the instructions provided. No issues. I didn’t need to clear a code, just wanted to see how engine was running. Product did exactly what was asked.",4,2,positive
en_0965947,"Only one of the two worked.

One works and I use it. When I tried to initially charge the other one, straight out of the package, it showed green as if it were fully charged but it does not work when put in my trimmer or blower. The other one works well, has a lot of power and lasts long enough. I would give 5 stars if the other one worked.",2,0,negative
en_0632587,"Three Stars

Did not perform as I expected. Would not purchase again. Had difficulty painting over this with latex paint.",3,1,neutral
en_0038443,"Terrible customer service!

Purchased Pinnacle Studio 22. It downloaded successfully, but will not run. Contacted manufacturer who said someone would contact me, but never happened. Amazon is no help they say contact the manufacturer and no refund. This is not customer service from either!!!",1,0,negative
en_0931969,"great

omg I absolutely loved this book. i read both books and i loved it. The family that we are following has a wonderful chemistry.",5,2,positive
en_0779139,"It's bigger than I expected

So far I'm okay with this fabric shaver. While I am glad to make my clothes look less trashy, it's loud and scares the cat. That's kind of an issue because he freaked when I set it down near him when I was adjusting a top to get at the other side.. Several bandaids and gauze and peroxide and an application of neosporin later...i tried using the shaver again. I would say that it's effective but i had hoped it was going to be slightly more magical, i.e. really quick. You have to be somewhat slow and methodical--but it will definitely collect a lot of pills in the clear bin. The really stubborn pills on a fleece pullover took more effort than a pilled-up hat did. Ultimately I was happy to see my clothes look refreshed. It's much bigger than the battery operated ones I've seen at WalMart. The advantage of the larger size is the larger collection bin. I had a battery operated shaver that was small and easy to use, but I had to stop every minute and empty it. I downgraded the stars due to the noise which seemed to affect the cat more than my vacuum cleaner. The other reason is the feeling of the shaver being not as zippy to shave the fabric as I expected for it's large size. I have only used it with the power cord, so I can't tell you how long it worked on the battery power.",3,1,neutral
en_0443439,"Must have!

Great product with good video quality definitely recommend it. Shipping was extremely fast.",5,2,positive
en_0103763,"Gray not sliver

More like a light gray not silver. Fits for her party .",3,1,neutral
en_0552576,"Three Stars

I love these headphones but under 3 months they broke",3,1,neutral
en_0923113,"Not sure about Samsung phone but IPhone X will not ...

Not sure about Samsung phone but IPhone X will not charge fast. I will even say it is faster lighting cable alone",2,0,negative
en_0953065,"One Star

Color not as described",1,0,negative
en_0936660,"Motor Slows Down when applying pressure!

I was looking for a cheaper massager and this one has its ups and downs! Overall I'm a little disappointed. Maybe I had too high of hope's for this price point. I like... - The materials used. - The heating element. - The shiatsu massage element helping with my back soreness/knots. I dislike... - The motor slowing down with too much applied pressure. The motor nearly putters out if you are laying against it to get those hard knots out. - The intensity button. Theres basically slow or fast. The middle speed is indistinguishable.",3,1,neutral
en_0375486,"Three Stars

cannot read from my car",3,1,neutral
en_0231086,"Uncomfortable

The earrings post is to thick. Uncomfortable to wear..",1,0,negative
en_0469369,"Five Stars

Good price, prompt delivery and works good.",5,2,positive
en_0123786,"Wow

I'm a guy, not too artsy, and this stuff was perfect. Easy to work with, dries fast, and it stayed on through the Halloween party all night. I received big compliments from the 10 minutes of time it took to glue and hide the seams of 2 horns added to my forehead.",5,2,positive
en_0810686,"One Star

Cheap plastic easy to deform, if you open twice hard to close again.",1,0,negative
en_0692293,"Great, comfy but too thick and stiff for the $$

I wear a size 12, 180lbs, 5'6 and ordered a large. First thing I noticed was how thick they are. As I started put it on I was like no way these aren't going to fit. They're more like spanx and are good at hiding many of my insecurities. I got em on sale for $30 and figured they would be better than the $5 old navy ones I usually buy. These are worth $20 imo. Gave it 4 stars because they're worth the keep..but not worth $60",4,2,positive
